id,question,answer,question_answer_id,bot_id
397,座席変更したい,座席変更したいのですね。もう座席は決まっていますか？決まっていたら新しい座席情報を総務部に連絡してください。,10903,11
398,座席変更する予定,座席変更する予定なのですね。　変更予定日や新しい座席の情報を総務部に連絡してください。,10904,11
399,スローガン,今年のスローガンですか？,10905,11
400,カードキーを忘れた,貸し出し用のカードキーを総務部で渡しますので、取りに行ってください。,10906,11
401,カードキーが無い,まだ受け取っていないのですか？,10907,11
402,カードキーの入れ物が壊れた,総務部に連絡してください。すぐに準備しますね。,10908,11
403,カードキーの入れ物が欲しい,総務部に連絡してください。すぐに準備しますね。,10909,11
404,カードケースが壊れた,総務部に連絡してください。すぐに準備しますね。,10910,11
405,カードケースを取り替えたい,総務部に連絡してください。すぐに準備しますね。,10911,11
406,会議室を予約したい,イントラの設備予約から予約できますよ。　希望の日時で空きのある部屋も確認できますよ！,10912,11
407,ワークルームを予約したい,"ワークルームの予約がしたいのですね。
ワークルームは総務部しか予約できませんので、利用用途と日時を総務部まで連絡してください。",10913,11
408,顧問室を予約したい,"顧問室の予約がしたいのですね。
顧問室は人事部と総務部しか予約できませんので、利用用途と日時を連絡してください。",10914,11
409,部屋が暑い,"部屋が暑いのですか？
大変失礼しました。温度調整は総務部で対応しますので、総務の方へ連絡してください。",10915,11
410,部屋が寒い,"部屋が暑いのですか？
大変失礼しました。温度調整は総務部で対応しますので、総務の方へ連絡してください。",10916,11
411,貸会議室を使いたい,レンタカー利用ですね。初めて利用しますか？,10917,11
412,貸会議室を借りたい,レンタカー利用ですね。初めて利用しますか？,10918,11
413,給茶機が壊れた,レンタカー利用ですね。初めて利用しますか？,10919,11
414,給茶機の水が出ない,レンタカー利用ですね。初めて利用しますか？,10920,11
415,給茶機のお湯が出ない,レンタカー利用ですね。初めて利用しますか？,10921,11
416,給茶機の粉が無い,レンタカー利用ですね。初めて利用しますか？,10922,11
417,コーヒーが無い,自分で作るか、○々野さんが作ってくれるので、お願いしてみて！,10923,11
418,コーヒーのフィルターが無い,レンタカー利用ですね。初めて利用しますか？,10924,11
419,コーヒーの豆が無い,レンタカー利用ですね。初めて利用しますか？,10925,11
420,コーヒーのミルクがない,レンタカー利用ですね。初めて利用しますか？,10926,11
421,コーヒーのスプーンが無い,レンタカー利用ですね。初めて利用しますか？,10927,11
422,紙コップが無い,レンタカー利用ですね。初めて利用しますか？,10928,11
423,グラスが無い,レンタカー利用ですね。初めて利用しますか？,10929,11
424,湯呑みが無い,レンタカー利用ですね。初めて利用しますか？,10930,11
425,茶受けが無い,レンタカー利用ですね。初めて利用しますか？,10931,11
426,延長コードを借りたい,レンタカー利用ですね。初めて利用しますか？,10932,11
427,延長コードを使いたい,レンタカー利用ですね。初めて利用しますか？,10933,11
428,テプラを使いたい,レンタカー利用ですね。初めて利用しますか？,10934,11
429,テプラを借りたい,レンタカー利用ですね。初めて利用しますか？,10935,11
430,ICレコーダーを使いたい,レンタカー利用ですね。初めて利用しますか？,10936,11
431,ICレコーダーを借りたい,レンタカー利用ですね。初めて利用しますか？,10937,11
432,ビデオカメラを使いたい,台車を借りたいのですね。　Ｓ棟のカラー複合機の周辺にありますよ。　使い終わったらちゃんと戻してくださいね！,10938,11
433,ビデオカメラを借りたい,レンタカー利用ですね。初めて利用しますか？,10939,11
434,SDカードが無い,SDカードがないのですか？　ビデオカメラ本体か箱の中にないですか？,10940,11
435,デジカメを使いたい,デジカメを使いたいのですね。イントラで設備予約してから総務部に声をかけてください。メモリーカードが入っているか確認してくださいね。,10941,11
436,デジカメを借りたい,デジカメを借りたいのですね。イントラで設備予約してから総務部に声をかけてください。メモリーカードが入っているか確認してくださいね。,10942,11
437,三脚を使いたい,三脚を使いたいのですね。総務部に声をかけてください。　使い終わったらちゃんと戻してくださいね！,10943,11
438,三脚を借りたい,三脚を借りたいのですね。総務部に声をかけてください。　使い終わったらちゃんと戻してくださいね！,10944,11
439,AEDを借りたい,AEDを借りたいのですね。イントラで設備予約してから総務部に声をかけてください。持ち出しの際、落としたりしないように注意してくださいね。,10945,11
440,レーザーポインターを使いたい,レーザーポインターを使いたいのですね。イントラで設備予約してから総務部に声をかけてください。　借りるときは電池があるか確認してくださいね。,10946,11
441,レーザーポインターを借りたい,レーザーポインターを借りたいのですね。イントラで設備予約してから総務部に声をかけてください。　借りるときは電池があるか確認してくださいね。,10947,11
442,電話会議システムを使いたい,レンタカー利用ですね。初めて利用しますか？,10948,11
443,電話会議システムを借りたい,レンタカー利用ですね。初めて利用しますか？,10949,11
444,プロジェクターが壊れた,レンタカー利用ですね。初めて利用しますか？,10950,11
445,プロジェクターが壊してしまった,レンタカー利用ですね。初めて利用しますか？,10951,11
446,プロジェクターが無い,レンタカー利用ですね。初めて利用しますか？,10952,11
447,プロジェクターを使いたい,レンタカー利用ですね。初めて利用しますか？,10953,11
448,プロジェクターを予約したい,レンタカー利用ですね。初めて利用しますか？,10954,11
449,プロジェクターを借りたい,レンタカー利用ですね。初めて利用しますか？,10955,11
450,iPadを使いたい,iPadを使いたいのですね。　利用場所は社内ですか。それとも社内に持ち出しますか。,10956,11
451,iPadを借りたい,レンタカー利用ですね。初めて利用しますか？,10957,11
452,コートハンガーを使いたい,コートハンガーを使いたいのですね。　各棟に設置していますので、自席に使いところを利用してください。,10958,11
453,コート掛けを使いたい,コートハンガーを使いたいのですね。　各棟に設置していますので、自席に使いところを利用してください。,10959,11
454,携帯が壊れた,携帯が壊れたんですね。今どういう状態ですか？,10960,11
455,携帯が動かない,携帯が動かないんですね。今どういう状態ですか？,10961,11
456,携帯を換えたい,携帯を交換したいのですね。理由を伺ってもよろしいですか？,10962,11
457,携帯の電池の減りが早いので交換したい,携帯の電池の減りが早いんですね。今どういう状態ですか？,10963,11
458,iPhoneのメッセージが壊れた,iPhoneのメッセージ・メールが壊れたんですね。今どういう状態ですか？,10964,11
459,iPhoneのメッセージが送れない,iPhoneのメッセージ・メールが送れないんですね。今どういう状態ですか？,10965,11
460,iPhoneのメッセージが届かない,iPhoneのメッセージ・メールが相手に届かないんですね。今どういう状態ですか？,10966,11
461,iPhoneのメッセージが重い,iPhoneのメッセージ・メールの動きが重たくなっているんですね。今どういう状態ですか？,10967,11
462,iPhoneのメッセージが動かない,iPhoneのメッセージ・メールが動かないんですね。今どういう状態ですか？,10968,11
463,iPhoneのメッセージの動きが遅い,iPhoneのメッセージ・メールの動きが重たくなっているんですね。今どういう状態ですか？,10969,11
464,iPhoneの電池の減りが早いので交換したい,iPhoneの電池の減りが早いんですね。今どういう状態ですか？,10970,11
465,携帯・スマートフォンのカバーが欲しい,レンタカー利用ですね。初めて利用しますか？,10971,11
466,携帯・スマートフォンのカバーを交換してほしい,レンタカー利用ですね。初めて利用しますか？,10972,11
467,携帯・スマートフォンのフィルムが欲しい,レンタカー利用ですね。初めて利用しますか？,10973,11
468,携帯・スマートフォンのフィルムを交換してほしい,レンタカー利用ですね。初めて利用しますか？,10974,11
469,お守りステッカーが欲しい,レンタカー利用ですね。初めて利用しますか？,10975,11
470,イヤホンが壊れた,イヤホンが壊れたんですね。今どういう状態ですか？,10976,11
471,イヤホンの新しいのが欲しい,レンタカー利用ですね。初めて利用しますか？,10977,11
472,イヤホンを交換してほしい,レンタカー利用ですね。初めて利用しますか？,10978,11
473,充電コードが切れた,充電コードが切れたんですね。充電コードの種類は何ですか？,10979,11
474,充電コードが壊れた,充電コードが壊れたんですね。充電コードの種類は何ですか？,10980,11
475,充電コードの新しいのが欲しい,新しい充電コードが欲しいんですね。充電コードの種類は何ですか？,10981,11
476,充電コードを交換してほしい,レンタカー利用ですね。初めて利用しますか？,10982,11
477,機種変更したい,レンタカー利用ですね。初めて利用しますか？,10983,11
478,iPhoneにしたい,レンタカー利用ですね。初めて利用しますか？,10984,11
479,ガラケーにしたい,レンタカー利用ですね。初めて利用しますか？,10985,11
480,電話帳を更新したい,レンタカー利用ですね。初めて利用しますか？,10986,11
481,スマートフォンの電話帳を更新したい,レンタカー利用ですね。初めて利用しますか？,10987,11
482,スマートフォンの連絡先を更新したい,レンタカー利用ですね。初めて利用しますか？,10988,11
483,携帯の電話帳を更新したい,レンタカー利用ですね。初めて利用しますか？,10989,11
484,携帯の連絡先を更新したい,レンタカー利用ですね。初めて利用しますか？,10990,11
485,メールアドレスが無い,PC用のアドレスですか？,10991,11
486,メールアドレスを作りたい,PC用のアドレスですか？,10992,11
487,メールアドレスが欲しい,PC用のアドレスですか？,10993,11
488,メールアドレスをもらってない,PC用のアドレスですか？,10994,11
489,決裁取れたか知りたい,レンタカー利用ですね。初めて利用しますか？,10995,11
490,決裁が今どこ回っているか知りたい,起案した決裁申請の状況を知りたいのですか。,10996,11
491,過去の決裁を見たい,過去の決裁を見たいのですね。それでは、決裁番号と冊子番号が分かれば、総務部で確認できますよ。　総務の人は、田中さん（内線801401）、中島さん（内線801402）、渡辺さん（内線801403）です。,10997,11
492,捺印終わったか知りたい,捺印が終わったのか確認されたいのですね。それでは、総務部の方に確認してください。　総務の人は、田中さん（内線801401）、中島さん（内線801402）、渡辺さん（内線801403）です。,10998,11
493,捺印が今どこ回っているか知りたい,レンタカー利用ですね。初めて利用しますか？,10999,11
494,EXカードを借りたい,レンタカー利用ですね。初めて利用しますか？,11000,11
495,出張したい,レンタカー利用ですね。初めて利用しますか？,11001,11
496,コピー用紙が欲しい,レンタカー利用ですね。初めて利用しますか？,11002,11
497,コピー用紙が無い,レンタカー利用ですね。初めて利用しますか？,11003,11
498,封筒が欲しい,レンタカー利用ですね。初めて利用しますか？,11004,11
499,封筒を買いたい,レンタカー利用ですね。初めて利用しますか？,11005,11
500,封筒が無い,レンタカー利用ですね。初めて利用しますか？,11006,11
501,会社概要が欲しい,レンタカー利用ですね。初めて利用しますか？,11007,11
502,会社概要が無い,レンタカー利用ですね。初めて利用しますか？,11008,11
503,会社案内が欲しい,レンタカー利用ですね。初めて利用しますか？,11009,11
504,会社案内が無い,レンタカー利用ですね。初めて利用しますか？,11010,11
505,紙袋が欲しい,レンタカー利用ですね。初めて利用しますか？,11011,11
506,紙袋が無い,レンタカー利用ですね。初めて利用しますか？,11012,11
507,ラミネートフィルムを使いたい,レンタカー利用ですね。初めて利用しますか？,11013,11
508,ラミネートフィルムを借りたい,レンタカー利用ですね。初めて利用しますか？,11014,11
509,ひもが欲しい,レンタカー利用ですね。初めて利用しますか？,11015,11
510,ひもが無くなった,レンタカー利用ですね。初めて利用しますか？,11016,11
511,紙コップが欲しい,レンタカー利用ですね。初めて利用しますか？,11017,11
512,ゴミを捨てたい,レンタカー利用ですね。初めて利用しますか？,11018,11
513,ゴミがいっぱいになった,レンタカー利用ですね。初めて利用しますか？,11019,11
514,段ボールを捨てたい,レンタカー利用ですね。初めて利用しますか？,11020,11
515,電池を捨てたい,レンタカー利用ですね。初めて利用しますか？,11021,11
516,割れ物を捨てたい,レンタカー利用ですね。初めて利用しますか？,11022,11
517,来社記録票が欲しい,レンタカー利用ですね。初めて利用しますか？,11023,11
518,来社記録票が無い,レンタカー利用ですね。初めて利用しますか？,11024,11
519,来社記録票が受付に置いてある,レンタカー利用ですね。初めて利用しますか？,11025,11
520,来社記録票をどこに置くかわからない,レンタカー利用ですね。初めて利用しますか？,11026,11
521,落し物が届いていますか？,レンタカー利用ですね。初めて利用しますか？,11027,11
522,落し物を見つけたのですが・・・,レンタカー利用ですね。初めて利用しますか？,11028,11
523,ポスターを貼りたい,レンタカー利用ですね。初めて利用しますか？,11029,11
524,掃除道具が欲しい,レンタカー利用ですね。初めて利用しますか？,11030,11
525,掃除道具を借りたい,レンタカー利用ですね。初めて利用しますか？,11031,11
526,雑巾が欲しい,レンタカー利用ですね。初めて利用しますか？,11032,11
527,雑巾を借りたい,レンタカー利用ですね。初めて利用しますか？,11033,11
528,雑巾を買いたい,レンタカー利用ですね。初めて利用しますか？,11034,11
529,ふきんが無くなった,レンタカー利用ですね。初めて利用しますか？,11035,11
530,ふきんが欲しい,レンタカー利用ですね。初めて利用しますか？,11036,11
531,ふきんを買いたい,レンタカー利用ですね。初めて利用しますか？,11037,11
532,洗剤が無くなった,レンタカー利用ですね。初めて利用しますか？,11038,11
533,洗剤が欲しい,レンタカー利用ですね。初めて利用しますか？,11039,11
534,洗剤を買いたい,レンタカー利用ですね。初めて利用しますか？,11040,11
535,スポンジが無くなった,レンタカー利用ですね。初めて利用しますか？,11041,11
536,スポンジが欲しい,レンタカー利用ですね。初めて利用しますか？,11042,11
537,スポンジを買いたい,レンタカー利用ですね。初めて利用しますか？,11043,11
538,スポンジを交換したい,レンタカー利用ですね。初めて利用しますか？,11044,11
539,観葉植物が枯れている,レンタカー利用ですね。初めて利用しますか？,11045,11
540,観葉植物を捨てたい,レンタカー利用ですね。初めて利用しますか？,11046,11
541,観葉植物を移動させたい,レンタカー利用ですね。初めて利用しますか？,11047,11
542,定期券がほしい,通勤交通費の定期券ですか？,11048,11
543,ヘルメットが欲しい,レンタカー利用ですね。初めて利用しますか？,11049,11
544,ヘルメットが無い,レンタカー利用ですね。初めて利用しますか？,11050,11
545,軍手が欲しい,レンタカー利用ですね。初めて利用しますか？,11051,11
546,軍手が無い,レンタカー利用ですね。初めて利用しますか？,11052,11
547,マグネットのハンガーが欲しい,レンタカー利用ですね。初めて利用しますか？,11053,11
548,マグネットのハンガーが無い,レンタカー利用ですね。初めて利用しますか？,11054,11
549,宅配伝票が欲しい・見たい,レンタカー利用ですね。初めて利用しますか？,11055,11
550,社内便の〆は何時なの？,レンタカー利用ですね。初めて利用しますか？,11056,11
551,宅配便の〆は何時なの？,レンタカー利用ですね。初めて利用しますか？,11057,11
552,ヤマト便の〆は何時なの？,レンタカー利用ですね。初めて利用しますか？,11058,11
553,佐川急便の〆は何時なの？,レンタカー利用ですね。初めて利用しますか？,11059,11
554,ゆうパックの〆は何時なの？,レンタカー利用ですね。初めて利用しますか？,11060,11
555,社内便でパソナグループに送れますか？,レンタカー利用ですね。初めて利用しますか？,11061,11
556,社内便でソリューションズに送れますか？,レンタカー利用ですね。初めて利用しますか？,11062,11
557,社内便でヘルスケアに送れますか？,レンタカー利用ですね。初めて利用しますか？,11063,11
558,社内便でペイロールに送れますか？,レンタカー利用ですね。初めて利用しますか？,11064,11
559,社内便の封筒が無い・無くなった・欲しい,レンタカー利用ですね。初めて利用しますか？,11065,11
560,郵便を出したい,レンタカー利用ですね。初めて利用しますか？,11066,11
561,ハスラーの使い方が分からない,レンタカー利用ですね。初めて利用しますか？,11067,11
562,ハスラーが動かない,レンタカー利用ですね。初めて利用しますか？,11068,11
563,ハスラーで押し間違えてしまった,レンタカー利用ですね。初めて利用しますか？,11069,11
564,シールが無い,レンタカー利用ですね。初めて利用しますか？,11070,11
565,ハスラーのインクが切れた,レンタカー利用ですね。初めて利用しますか？,11071,11
566,ハスラーの残高不足になっている,レンタカー利用ですね。初めて利用しますか？,11072,11
567,ハスラーの料金不足になっている,レンタカー利用ですね。初めて利用しますか？,11073,11
568,利用者（発送者）を確認したい,誰が出した（使った）のか確認したいのですか？,11074,11
569,椅子が壊れた,レンタカー利用ですね。初めて利用しますか？,11075,11
570,椅子を交換してほしい,レンタカー利用ですね。初めて利用しますか？,11076,11
571,机が壊れた,レンタカー利用ですね。初めて利用しますか？,11077,11
572,机を交換してほしい,レンタカー利用ですね。初めて利用しますか？,11078,11
573,椅子が欲しい,レンタカー利用ですね。初めて利用しますか？,11079,11
574,机が欲しい,レンタカー利用ですね。初めて利用しますか？,11080,11
575,固定電話機がない,レンタカー利用ですね。初めて利用しますか？,11081,11
576,固定電話機が欲しい,レンタカー利用ですね。初めて利用しますか？,11082,11
577,合キーを作りたい,レンタカー利用ですね。初めて利用しますか？,11083,11
578,机のキーが無い,レンタカー利用ですね。初めて利用しますか？,11084,11
579,キャビネットのキーが無い,レンタカー利用ですね。初めて利用しますか？,11085,11
580,プリンターーのトナーが欲しい,レンタカー利用ですね。初めて利用しますか？,11086,11
581,プリンターーのトナーが無くなった,レンタカー利用ですね。初めて利用しますか？,11087,11
582,プリンターーのトナーを交換したい,レンタカー利用ですね。初めて利用しますか？,11088,11
583,時計の時刻がずれている,レンタカー利用ですね。初めて利用しますか？,11089,11
584,時計の針が止まっている,レンタカー利用ですね。初めて利用しますか？,11090,11
585,チャイムがずれている・直してほしい,レンタカー利用ですね。初めて利用しますか？,11091,11
586,穴開けパンチを借りたい,レンタカー利用ですね。初めて利用しますか？,11092,11
587,厚いものをホチキスで止めたい,レンタカー利用ですね。初めて利用しますか？,11093,11
588,クリアファイルが無い,レンタカー利用ですね。初めて利用しますか？,11094,11
589,クリアファイルが欲しい,レンタカー利用ですね。初めて利用しますか？,11095,11
590,クリアファイルがいらなくなった,レンタカー利用ですね。初めて利用しますか？,11096,11
591,台車を借りたい,台車を借りたいのですね。　Ｓ棟のカラー複合機の周辺にありますよ。　使い終わったらちゃんと戻してくださいね！,11097,11
592,台車を使いたい,台車を使いたいのですね。　Ｓ棟のカラー複合機の周辺にありますよ。　使い終わったらちゃんと戻してくださいね！,11098,11
593,脚立を借りたい,脚立を借りたいのですね。　Ｓ棟のカラー複合機の周辺に置いてあります。　使い終わったらちゃんと戻してくださいね！,11099,11
594,脚立を使いたい,脚立を使いたいのですね。　Ｓ棟のカラー複合機の周辺に置いてあります。　使い終わったらちゃんと戻してくださいね！,11100,11
595,ドライバーを借りたい,レンタカー利用ですね。初めて利用しますか？,11101,11
596,電気が切れた,レンタカー利用ですね。初めて利用しますか？,11102,11
597,蛍光灯が切れた,レンタカー利用ですね。初めて利用しますか？,11103,11
598,ジュースをこぼした,レンタカー利用ですね。初めて利用しますか？,11104,11
599,コーヒーをこぼした,レンタカー利用ですね。初めて利用しますか？,11105,11
600,お茶をこぼした,レンタカー利用ですね。初めて利用しますか？,11106,11
601,床を汚してしまった,レンタカー利用ですね。初めて利用しますか？,11107,11
602,ブLINEドが壊れた,レンタカー利用ですね。初めて利用しますか？,11108,11
603,ブLINEドが動かない,レンタカー利用ですね。初めて利用しますか？,11109,11
604,テプラのテープが無くなった,レンタカー利用ですね。初めて利用しますか？,11110,11
605,テプラのテープが欲しい,レンタカー利用ですね。初めて利用しますか？,11111,11
606,文具が欲しい,レンタカー利用ですね。初めて利用しますか？,11112,11
607,製本テープが欲しい,レンタカー利用ですね。初めて利用しますか？,11113,11
608,製本テープが使いたい,レンタカー利用ですね。初めて利用しますか？,11114,11
609,電池が欲しい,レンタカー利用ですね。初めて利用しますか？,11115,11
610,電池が無くなった,レンタカー利用ですね。初めて利用しますか？,11116,11
611,付箋が欲しい,レンタカー利用ですね。初めて利用しますか？,11117,11
612,付箋が無くなった,レンタカー利用ですね。初めて利用しますか？,11118,11
613,ホワイトボードマーカーがほしい,レンタカー利用ですね。初めて利用しますか？,11119,11
614,ホワイトボードマーカーが無くなった,レンタカー利用ですね。初めて利用しますか？,11120,11
615,ガムテープが欲しい,レンタカー利用ですね。初めて利用しますか？,11121,11
616,ガムテープが無くなった,レンタカー利用ですね。初めて利用しますか？,11122,11
617,セロテープが欲しい,レンタカー利用ですね。初めて利用しますか？,11123,11
618,セロテープが無くなった,レンタカー利用ですね。初めて利用しますか？,11124,11
619,消しゴムが欲しい,レンタカー利用ですね。初めて利用しますか？,11125,11
620,消しゴムが無くなった,レンタカー利用ですね。初めて利用しますか？,11126,11
621,シャープペンシルの芯が欲しい,レンタカー利用ですね。初めて利用しますか？,11127,11
622,シャープペンシルの芯が無くなった,レンタカー利用ですね。初めて利用しますか？,11128,11
623,ホチキスの針が欲しい,レンタカー利用ですね。初めて利用しますか？,11129,11
624,ホチキスの針が無くなった,レンタカー利用ですね。初めて利用しますか？,11130,11
625,クリップが欲しい,レンタカー利用ですね。初めて利用しますか？,11131,11
626,クリップが無い,レンタカー利用ですね。初めて利用しますか？,11132,11
627,輪ゴムが欲しい,レンタカー利用ですね。初めて利用しますか？,11133,11
628,輪ゴムが無い,レンタカー利用ですね。初めて利用しますか？,11134,11
629,のりが欲しい,レンタカー利用ですね。初めて利用しますか？,11135,11
630,のりが無い,レンタカー利用ですね。初めて利用しますか？,11136,11
631,デート印が壊れた,レンタカー利用ですね。初めて利用しますか？,11137,11
632,名刺が無くなった,レンタカー利用ですね。初めて利用しますか？,11138,11
633,名刺を作りたい,レンタカー利用ですね。初めて利用しますか？,11139,11
634,名刺の内容を変更したい,レンタカー利用ですね。初めて利用しますか？,11140,11
635,名刺の内容を変えたい,レンタカー利用ですね。初めて利用しますか？,11141,11
636,氷が無い,レンタカー利用ですね。初めて利用しますか？,11142,11
637,氷ができない,レンタカー利用ですね。初めて利用しますか？,11143,11
638,冷蔵庫がいっぱいで入らない,レンタカー利用ですね。初めて利用しますか？,11144,11
639,冷蔵庫の整理をしてほしい,レンタカー利用ですね。初めて利用しますか？,11145,11
640,変なものが入っている,レンタカー利用ですね。初めて利用しますか？,11146,11
641,レンタカーを使いたい（ニッポンレンタカー）,レンタカー利用ですね。初めて利用しますか？,11147,11
642,レンタカー申請したい（ニッポンレンタカー）,レンタカー利用ですね。初めて利用しますか？,11148,11
643,レンタカーを使いたい,レンタカー利用ですね。初めて利用しますか？,11149,11
644,レンタカー申請したい,レンタカー利用ですね。初めて利用しますか？,11150,11
645,カーシェアリングを使いたい,レンタカー利用ですね。初めて利用しますか？,11151,11
646,レンタカー初めて使いたい,レンタカー利用ですね。初めて利用しますか？,11152,11
647,安全講習受けてない,レンタカー利用ですね。初めて利用しますか？,11153,11
648,安全講習受けたい,レンタカー利用ですね。初めて利用しますか？,11154,11
649,安全講習受けてないけどレンタカー使いたい,レンタカー利用ですね。初めて利用しますか？,11155,11
650,ETCカードを借りたい,レンタカー利用ですね。初めて利用しますか？,11156,11
651,ノートパソコンを借りたい,申請、予約済みですか？,11157,11
652,パソコンの時間外利用,申請済ですか,11158,11
653,パソコンの電源がつかない,PCに電源ケーブルが接続されているか？,11159,11
654,パソコンが故障した,デスクトップですか？ノートですか？,11160,11
655,iPhoneのテザリング,PCにiPhone名は表示されますか,11161,11
656,アカウントロックされた,どのアカウントですか,11162,11
657,ネットワ−クが繋がらない,PCにLANケーブルは繋がってますか？,11163,11
658,Wordについて,質問内容はどれでしょう,11164,11
659,Excelについて,質問内容はどれでしょう,11165,11
660,Powerpointについて,質問内容はどれでしょう,11166,11
661,データ復旧してほしい,データはどこにあるものですか？,11167,11
662,ファイル復旧してほしい,データはどこにあるものですか？,11168,11
663,ファイルサーバにデータが保存できない,保存先はどこですか？,11169,11
664,会議室でファイルサーバが見たい,"以下の操作にて認証通過後、可能です。
\\b1st10\システム開発共有\50_配布\マニュアル・申請書
ファイル名：会議室ネットワーク使用マニュアル.doc",11170,11
665,会議室で社内環境がみたい,"以下の操作にて認証通過後、可能です。
\\b1st10\システム開発共有\50_配布\マニュアル・申請書
ファイル名：会議室ネットワーク使用マニュアル.doc",11171,11
666,会議室でネット接続したい,会議室ではどなたでもLAN接続頂ければネット閲覧可能です。,11172,11
667,USBを借りたい,申請済ですか,11173,11
668,Wifiルータを借りたい,申請済ですか,11174,11
669,LANケーブルを借りたい,インフラチームまでご連絡ください。,11175,11
670,延長電源コードを借りたい,インフラチームまでご連絡ください。,11176,11
671,DVDを再生したい,インフラチームまでご連絡ください。,11177,11
672,動画を再生したい,インフラチームまでご連絡ください。,11178,11
673,動画を編集したい,インフラチームまでご連絡ください。,11179,11
674,winメール.datを解凍したい,対象データをインフラチームまで転送してください。,11180,11
675,PDFが見れない,PDFファイルを右クリックし、「プログラムから開く」−「既定のプログラムの選択」からAdobe readerを選択ください。,11181,11
676,ファイルが解凍できない,インフラチームまでご連絡ください。,11182,11
677,ファイルが圧縮できない,インフラチームまでご連絡ください。,11183,11
678,ファイルをパスWord付きで圧縮したい,インフラチームまでご連絡ください。,11184,11
679,メールの自動応答設定をしたい,"以下の資料をご参照ください。
\\b1st10\システム開発共有\50_配布\マニュアル・申請書\ActiveMail(WEBメール)
ファイル名：WEBメール_初期設定資料.xls",11185,11
680,過去メールを検索したい,"以下の資料をご参照ください。
\\b1st10\システム開発共有\50_配布\マニュアル・申請書\ActiveMail(WEBメール)
ファイル名：WEBメール_初期設定資料.xls",11186,11
681,MLを作成したい,Hiper-BT申請より申請をあげてください。,11187,11
682,MLを変更したい,Hiper-BT申請より申請をあげてください。,11188,11
683,MLから外してほしい,Hiper-BT申請より申請をあげてください。,11189,11
684,怪しいメールがきた,開くな危険、ですよ。無視、削除しましょう,11190,11
685,迷惑メールがきた,開くな危険、ですよ。無視、削除しましょう,11191,11
686,使いたいソフトがある,上長、先輩に相談しましたか？,11192,11
687,クリアファイル,"クリアファイルが欲しいのですね？
あなたが欲しいのは新品ですか？それとも中古でもＯＫ？",12368,11
688,はい。初めて利用します。,"レンタカーを初めて利用されるんですね。
それでは、「業務用車両運転許可申請書」をご提出ください。また、安全運転のテストを受けていただきたいので、事前連絡の上で総務部までお越しください！",12369,11
689,いいえ。以前も使ったことがあります。,"レンタカーを以前にも利用されたことがあるのですね。
総務部へ運転免許のコピーは提出していますよね？",12370,11
11572,こんにちは,こんにちは！何か質問はございますか？,18331,13
11573,ありがとう,"どういたしまして。
またのご利用をお待ちしています！",18332,13
11574,ありがとうございました,"どういたしまして。
またのご利用をお待ちしています！",18333,13
